Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
1264,2018,1,1,0,0,0.78035,0.78183,0.77946,0.77988,8576,88.13842636,0.00486698,0.00300586,83.17596567,83.17596567
1265,2018,1,2,0,0,0.77988,0.78447,0.77988,0.78306,75739,91.06213094,0.00530694,0.00348997,85.3030303,85.3030303
1266,2018,1,3,0,0,0.78305,0.78449,0.78053,0.78268,76333,88.03689561,0.00556084,0.00392875,89.68858131,89.68858131
1267,2018,1,4,0,0,0.78268,0.78687,0.78146,0.78634,80386,91.28883189,0.00598837,0.00436373,90.96306069,90.96306069
1268,2018,1,5,0,0,0.78635,0.78747,0.78352,0.78621,76134,90.2719743,0.00624471,0.00477799,82.93020041,82.93020041
1269,2018,1,7,0,0,0.78616,0.78711,0.78591,0.78592,4227,87.7287432,0.00635125,0.00516281,76.00334448,76.00334448
1270,2018,1,8,0,0,0.78592,0.78725,0.7827,0.78451,61855,75.6406922,0.00624986,0.00546884,69.27570093,69.27570093
1271,2018,1,9,0,0,0.7845,0.78646,0.78075,0.78108,84540,54.37655159,0.00582558,0.00566144,60.70336391,60.70336391
1272,2018,1,10,0,0,0.78109,0.7867,0.78082,0.78465,105756,65.98718282,0.00571157,0.00578957,56.62650602,56.62650602
1273,2018,1,11,0,0,0.78466,0.78962,0.78378,0.78859,109632,74.38165783,0.00587146,0.00590117,40.46997389,40.46997389
1274,2018,1,12,0,0,0.7886,0.79245,0.78481,0.79149,108668,78.86159324,0.00616115,0.00599609,32.03125,32.03125
1275,2018,1,14,0,0,0.79062,0.79178,0.79062,0.7908,3263,75.21070713,0.00626287,0.00607409,46.09375,46.09375
1276,2018,1,15,0,0,0.7908,0.79784,0.79074,0.79602,96828,82.40149781,0.00668759,0.00615178,50.25906736,50.25906736
1277,2018,1,16,0,0,0.79603,0.79748,0.79371,0.79708,103545,83.53313103,0.00702871,0.00623889,75.16254876,75.16254876
