Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
1109,2017,6,30,0,0,0.69754,0.70316,0.69754,0.70232,85513,51.35317141,0.00251083,0.00393428,40.93023256,40.93023256
1110,2017,7,2,0,0,0.70216,0.70409,0.70117,0.70388,711,55.12741734,0.00248087,0.00369004,31.88268685,31.88268685
1111,2017,7,3,0,0,0.70388,0.70426,0.7001,0.70177,58845,49.11444076,0.0022608,0.00341728,12.34567901,12.34567901
1112,2017,7,4,0,0,0.70177,0.70467,0.69969,0.70303,59916,52.70815086,0.00216313,0.00314061,9.37713895,9.37713895
1113,2017,7,5,0,0,0.70303,0.70355,0.70106,0.70238,76625,50.559144,0.00201011,0.00285979,15.1266256,15.1266256
1114,2017,7,6,0,0,0.7024,0.70366,0.69818,0.69871,78778,39.85518672,0.00157455,0.00252873,28.34520982,28.34520982
1115,2017,7,7,0,0,0.69873,0.70236,0.69868,0.70195,71105,50.62233999,0.00147381,0.0022744,41.75050302,41.75050302
1116,2017,7,9,0,0,0.70039,0.70197,0.70039,0.70109,2215,47.96337465,0.00130949,0.00205055,62.95828066,62.95828066
1117,2017,7,10,0,0,0.70107,0.70356,0.70015,0.70079,54676,46.95953614,0.0011419,0.00188061,59.01442308,59.01442308
1118,2017,7,11,0,0,0.70081,0.70123,0.69568,0.69611,69358,34.00615729,0.00062424,0.00167099,58.36864407,58.36864407
1119,2017,7,12,0,0,0.69612,0.70165,0.69507,0.70011,88914,48.24237283,0.00053065,0.0014543,55.55555556,55.55555556
1120,2017,7,13,0,0,0.70011,0.71161,0.69935,0.70802,89736,65.44157657,0.00108227,0.00132335,64.15662651,64.15662651
1121,2017,7,14,0,0,0.70803,0.70977,0.70655,0.70789,78460,65.02724976,0.00149174,0.00124875,73.12560857,73.12560857
1122,2017,7,16,0,0,0.70671,0.70863,0.70671,0.70853,4536,66.25437848,0.00184661,0.00123058,76.45376549,76.45376549
1123,2017,7,17,0,0,0.70851,0.70916,0.69914,0.69989,82646,42.67213002,0.00141437,0.00121279,81.36813681,81.36813681
1124,2017,7,18,0,0,0.69992,0.70652,0.69884,0.70128,110596,46.26216468,0.00117048,0.00117908,83.92193309,83.92193309
1125,2017,7,19,0,0,0.70128,0.70599,0.70126,0.7028,77215,50.23781225,0.00108732,0.0011544,87.41658723,87.41658723
1126,2017,7,20,0,0,0.7028,0.70708,0.70074,0.70437,111411,54.31106707,0.00113501,0.00115363,84.25026969,84.25026969
1127,2017,7,21,0,0,0.70435,0.70768,0.70295,0.70493,94780,55.81608433,0.00120412,0.00121806,87.44019139,87.44019139
1128,2017,7,23,0,0,0.70284,0.70485,0.70284,0.70455,2155,54.3975108,0.00121422,0.00129402,80.57065217,80.57065217
1129,2017,7,24,0,0,0.70455,0.70471,0.70237,0.70435,88634,53.56163927,0.00119235,0.00130625,81.08108108,81.08108108
1130,2017,7,25,0,0,0.70435,0.70693,0.70142,0.70664,97204,61.47038258,0.0013443,0.00128987,69.9017199,69.9017199
1131,2017,7,26,0,0,0.70663,0.71589,0.70623,0.71575,127105,78.48017511,0.00217476,0.00132633,62.42496999,62.42496999
1132,2017,7,27,0,0,0.71575,0.72455,0.71513,0.72279,125828,84.60693131,0.00336221,0.00154275,57.4168798,57.4168798
1133,2017,7,28,0,0,0.72277,0.7291,0.7225,0.7279,110510,87.59718016,0.00466187,0.00193068,53.92022008,53.92022008
1134,2017,7,30,0,0,0.72518,0.7279,0.72503,0.7277,2211,86.82699916,0.00561104,0.00243332,68.08219178,68.08219178
1135,2017,7,31,0,0,0.7277,0.72872,0.72232,0.72595,88213,79.67572328,0.00615115,0.00299067,74.4558992,74.4558992
1136,2017,8,1,0,0,0.72597,0.72776,0.71646,0.71651,90281,52.47576431,0.00575116,0.0034959,79.11764706,79.11764706
1137,2017,8,2,0,0,0.71651,0.72228,0.71642,0.72007,98057,58.68172735,0.00565623,0.00398945,81.8657367,81.8657367
1138,2017,8,3,0,0,0.72005,0.72155,0.71595,0.72008,88802,58.69940185,0.0055182,0.0044701,84.1876629,84.1876629
1139,2017,8,4,0,0,0.72008,0.72339,0.71865,0.7212,81780,60.88568096,0.00543651,0.00492479,76.54075547,76.54075547
1140,2017,8,6,0,0,0.71969,0.72108,0.71964,0.72078,4554,59.50752239,0.00527705,0.00526949,72.62032086,72.62032086
1141,2017,8,7,0,0,0.72076,0.72135,0.71481,0.71586,60483,45.44822665,0.0046995,0.00541808,74.00194742,74.00194742
1142,2017,8,8,0,0,0.71588,0.71664,0.71294,0.71297,80010,39.11513138,0.00396291,0.00534042,83.20189274,83.20189274
1143,2017,8,9,0,0,0.71297,0.71367,0.70366,0.70895,98488,31.90107683,0.00301996,0.00505252,80.63157895,80.63157895
1144,2017,8,10,0,0,0.70898,0.70902,0.69872,0.69938,90443,21.09534911,0.00148335,0.00453387,85.01440922,85.01440922
1145,2017,8,11,0,0,0.6994,0.70432,0.69743,0.70397,84255,33.66781626,0.0006287,0.00396471,82.75,82.75
1146,2017,8,13,0,0,0.70234,0.70522,0.70234,0.70456,2273,35.21582342,-0.00000099,0.00333613,80.10362694,80.10362694
