Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
141,2014,5,20,0,0,1.08723,1.09154,1.08707,1.09096,17917,55.57680932,-0.00316724,-0.00350103,36.00867679,36.00867679
142,2014,5,21,0,0,1.09098,1.09403,1.08923,1.09143,19722,57.35119748,-0.00277646,-0.00341187,53.14885496,53.14885496
143,2014,5,22,0,0,1.09142,1.0929,1.08831,1.08924,17743,47.11979203,-0.00261336,-0.0033081,56.73758865,56.73758865
144,2014,5,23,0,0,1.08925,1.09073,1.08593,1.08593,15022,35.84414052,-0.00271984,-0.00322908,51.98237885,51.98237885
145,2014,5,25,0,0,1.08696,1.08721,1.08654,1.08699,1164,41.10927916,-0.00268771,-0.00314614,28.46270928,28.46270928
146,2014,5,26,0,0,1.08701,1.08715,1.0852,1.08562,9668,36.58232331,-0.0027412,-0.0030625,15.81027668,15.81027668
147,2014,5,27,0,0,1.08563,1.08733,1.08347,1.08545,17106,36.00828096,-0.00276543,-0.0029666,34.46658851,34.46658851
148,2014,5,28,0,0,1.08544,1.08851,1.08423,1.08711,18124,45.71283846,-0.00262047,-0.00285153,33.60824742,33.60824742
149,2014,5,29,0,0,1.08713,1.08766,1.08244,1.08376,18576,33.68531767,-0.00274428,-0.00275955,37.96992481,37.96992481
150,2014,5,30,0,0,1.08377,1.08668,1.08213,1.08442,16817,37.46706622,-0.00275735,-0.00271401,23.25383305,23.25383305
151,2014,6,1,0,0,1.08416,1.08461,1.08411,1.08434,1737,37.16733142,-0.00274255,-0.00271024,25.16025641,25.16025641
152,2014,6,2,0,0,1.08435,1.091,1.08416,1.09011,17046,62.44676923,-0.00223942,-0.00266869,21.79487179,21.79487179
153,2014,6,3,0,0,1.0901,1.09205,1.08896,1.09171,16760,66.77171611,-0.00169207,-0.0025545,17.99242424,17.99242424
154,2014,6,4,0,0,1.0917,1.09538,1.09152,1.09416,19778,72.4416671,-0.00104851,-0.00237236,13.61556064,13.61556064
155,2014,6,5,0,0,1.09417,1.09591,1.09156,1.09204,22057,61.7965135,-0.00070147,-0.00214573,24.59893048,24.59893048
156,2014,6,6,0,0,1.09203,1.09465,1.09076,1.09301,18848,64.57528315,-0.0003442,-0.0018767,35.41147132,35.41147132
157,2014,6,8,0,0,1.09256,1.09345,1.09255,1.09341,1005,65.77299806,-0.00002845,-0.0015887,55.875,55.875
158,2014,6,9,0,0,1.09345,1.09395,1.08996,1.09052,15557,51.1855563,-0.00001129,-0.00128503,49.52510176,49.52510176
159,2014,6,10,0,0,1.09051,1.09197,1.08899,1.08973,16814,47.80432613,-0.00006073,-0.00098541,43.73177843,43.73177843
160,2014,6,11,0,0,1.08972,1.09036,1.08603,1.08676,17702,37.06518351,-0.0003357,-0.00071798,23.28571429,23.28571429
161,2014,6,12,0,0,1.08677,1.08681,1.08406,1.08555,18239,33.48929384,-0.00064383,-0.00054069,15.38461538,15.38461538
162,2014,6,13,0,0,1.08554,1.08691,1.08467,1.0854,15754,33.02844473,-0.00088987,-0.00045156,15.55555556,15.55555556
163,2014,6,15,0,0,1.08551,1.08575,1.08522,1.08575,1237,35.44666054,-0.00104458,-0.00045112,18.24146982,18.24146982
164,2014,6,16,0,0,1.08571,1.08806,1.08345,1.08486,16840,32.01697915,-0.00122488,-0.00050928,31.32372215,31.32372215
165,2014,6,17,0,0,1.08487,1.08737,1.08469,1.08611,16346,41.32021,-0.00125247,-0.0006102,39.11806543,39.11806543
